Start Training
Train Epoch0 out_loss 0.393831342458725, R2 0.6074494123458862
Test Epoch29 layer1 out_loss 0.21543022990226746, R2 0.7817199230194092
Train Epoch30 out_loss 0.2124890387058258, R2 0.7882020473480225
Test Epoch30 layer0 out_loss 0.24576692283153534, R2 0.7509819269180298
Test Epoch30 layer1 out_loss 0.21399538218975067, R2 0.7831737995147705
Train Epoch31 out_loss 0.21188706159591675, R2 0.7888020277023315
Test Epoch31 layer0 out_loss 0.2461186945438385, R2 0.750625491142273
Test Epoch31 layer1 out_loss 0.21548324823379517, R2 0.7816662192344666
Train Epoch32 out_loss 0.21161875128746033, R2 0.7890694737434387
Test Epoch32 layer0 out_loss 0.24309372901916504, R2 0.7536904811859131
Test Epoch32 layer1 out_loss 0.21237559616565704, R2 0.7848150134086609
Train Epoch33 out_loss 0.21061252057552338, R2 0.7900724411010742
Test Epoch33 layer0 out_loss 0.2414771318435669, R2 0.7553284764289856
Test Epoch33 layer1 out_loss 0.2142258882522583, R2 0.7829402089118958
Train Epoch34 out_loss 0.2097693681716919, R2 0.7909128665924072
Test Epoch34 layer0 out_loss 0.24024146795272827, R2 0.7565804719924927
Test Epoch34 layer1 out_loss 0.21139171719551086, R2 0.7858119010925293
Train Epoch35 out_loss 0.20848789811134338, R2 0.7921901345252991
Test Epoch35 layer0 out_loss 0.2403631955385208, R2 0.7564571499824524
Test Epoch35 layer1 out_loss 0.21097800135612488, R2 0.7862311005592346
Train Epoch36 out_loss 0.20869912207126617, R2 0.7919796109199524
Test Epoch36 layer0 out_loss 0.2384241670370102, R2 0.7584218382835388
Test Epoch36 layer1 out_loss 0.21263530850410461, R2 0.7845518589019775
Train Epoch37 out_loss 0.20832768082618713, R2 0.7923498153686523
Test Epoch37 layer0 out_loss 0.2398809939622879, R2 0.7569457292556763
Test Epoch37 layer1 out_loss 0.21055695414543152, R2 0.7866576910018921
Train Epoch38 out_loss 0.2068008929491043, R2 0.7938716411590576
Test Epoch38 layer0 out_loss 0.23861801624298096, R2 0.7582254409790039
Test Epoch38 layer1 out_loss 0.21319139003753662, R2 0.7839884161949158
Train Epoch39 out_loss 0.20724576711654663, R2 0.7934282422065735
Test Epoch39 layer0 out_loss 0.24431714415550232, R2 0.7524508833885193
Test Epoch39 layer1 out_loss 0.21689143776893616, R2 0.7802394032478333
Train Epoch40 out_loss 0.20703987777233124, R2 0.7936334013938904
Test Epoch40 layer0 out_loss 0.2401268184185028, R2 0.7566966414451599
Test Epoch40 layer1 out_loss 0.20958974957466125, R2 0.7876377105712891
Train Epoch41 out_loss 0.20612509548664093, R2 0.7945452332496643
Test Epoch41 layer0 out_loss 0.23454484343528748, R2 0.762352466583252
Test Epoch41 layer1 out_loss 0.21005459129810333, R2 0.7871667146682739
Train Epoch42 out_loss 0.2052716314792633, R2 0.7953959107398987
Test Epoch42 layer0 out_loss 0.23980875313282013, R2 0.7570189237594604
Test Epoch42 layer1 out_loss 0.21168823540210724, R2 0.7855114340782166
Train Epoch43 out_loss 0.2050062119960785, R2 0.7956604957580566
Test Epoch43 layer0 out_loss 0.2343767136335373, R2 0.76252281665802
Test Epoch43 layer1 out_loss 0.20873938500881195, R2 0.7884992957115173
Train Epoch44 out_loss 0.20414644479751587, R2 0.7965174317359924
Test Epoch44 layer0 out_loss 0.23620723187923431, R2 0.7606680989265442
Test Epoch44 layer1 out_loss 0.21166282892227173, R2 0.7855371832847595
Train Epoch45 out_loss 0.20346063375473022, R2 0.7972010374069214
Test Epoch45 layer0 out_loss 0.238888218998909, R2 0.7579516172409058
Test Epoch45 layer1 out_loss 0.20989654958248138, R2 0.7873268127441406
Train Epoch46 out_loss 0.20372352004051208, R2 0.7969390153884888
Test Epoch46 layer0 out_loss 0.23609717190265656, R2 0.760779619216919
Test Epoch46 layer1 out_loss 0.20986561477184296, R2 0.7873581647872925
Train Epoch47 out_loss 0.20191580057144165, R2 0.7987408638000488
Test Epoch47 layer0 out_loss 0.23567873239517212, R2 0.7612035870552063
Test Epoch47 layer1 out_loss 0.20888271927833557, R2 0.7883540391921997
Train Epoch48 out_loss 0.20256611704826355, R2 0.7980926632881165
Test Epoch48 layer0 out_loss 0.23754407465457916, R2 0.7593135833740234
Test Epoch48 layer1 out_loss 0.2107681781053543, R2 0.7864437103271484
Train Epoch49 out_loss 0.2022918313741684, R2 0.7983660697937012
Test Epoch49 layer0 out_loss 0.23643837869167328, R2 0.7604339122772217
Test Epoch49 layer1 out_loss 0.21121545135974884, R2 0.7859904766082764
Train Epoch50 out_loss 0.20072193443775177, R2 0.7999308705329895
Test Epoch50 layer0 out_loss 0.2294674962759018, R2 0.7674970030784607
Test Epoch50 layer1 out_loss 0.20543581247329712, R2 0.7918465733528137
Train Epoch51 out_loss 0.20105379819869995, R2 0.7996000051498413
Test Epoch51 layer0 out_loss 0.23268264532089233, R2 0.7642393112182617
Test Epoch51 layer1 out_loss 0.20804524421691895, R2 0.7892026305198669
Train Epoch52 out_loss 0.20066878199577332, R2 0.79998379945755
Test Epoch52 layer0 out_loss 0.23055098950862885, R2 0.7663991451263428
Test Epoch52 layer1 out_loss 0.20483894646167755, R2 0.7924513220787048
Train Epoch53 out_loss 0.19970552623271942, R2 0.8009439706802368
Test Epoch53 layer0 out_loss 0.22875821590423584, R2 0.7682156562805176
Test Epoch53 layer1 out_loss 0.2046825885772705, R2 0.7926097512245178
Train Epoch54 out_loss 0.19855628907680511, R2 0.8020894527435303
Test Epoch54 layer0 out_loss 0.23248420655727386, R2 0.7644403576850891
Test Epoch54 layer1 out_loss 0.20805931091308594, R2 0.7891883850097656
Train Epoch55 out_loss 0.19884392619132996, R2 0.8018027544021606
Test Epoch55 layer0 out_loss 0.23011763393878937, R2 0.7668382525444031
Test Epoch55 layer1 out_loss 0.20932486653327942, R2 0.7879060506820679
Train Epoch56 out_loss 0.1989557147026062, R2 0.8016912937164307
Test Epoch56 layer0 out_loss 0.23302841186523438, R2 0.763888955116272
Test Epoch56 layer1 out_loss 0.20766548812389374, R2 0.7895873785018921
Train Epoch57 out_loss 0.1980849802494049, R2 0.8025591969490051
Test Epoch57 layer0 out_loss 0.23070302605628967, R2 0.7662451267242432
Test Epoch57 layer1 out_loss 0.20645961165428162, R2 0.7908092737197876
Train Epoch58 out_loss 0.19810175895690918, R2 0.802542507648468
Test Epoch58 layer0 out_loss 0.23250950872898102, R2 0.7644147276878357
Test Epoch58 layer1 out_loss 0.21120724081993103, R2 0.7859988212585449
Train Epoch59 out_loss 0.1967514157295227, R2 0.8038884401321411
Test Epoch59 layer0 out_loss 0.24027320742607117, R2 0.7565483450889587
Test Epoch59 layer1 out_loss 0.2128593623638153, R2 0.7843248248100281
Train Epoch60 out_loss 0.19686636328697205, R2 0.8037738800048828
Test Epoch60 layer0 out_loss 0.23078159987926483, R2 0.7661654949188232
Test Epoch60 layer1 out_loss 0.20542079210281372, R2 0.7918617725372314
Train Epoch61 out_loss 0.19610051810741425, R2 0.8045372366905212
Test Epoch61 layer0 out_loss 0.23853223025798798, R2 0.7583123445510864
Test Epoch61 layer1 out_loss 0.20580649375915527, R2 0.791471004486084
Train Epoch62 out_loss 0.19587159156799316, R2 0.8047654032707214
Test Epoch62 layer0 out_loss 0.24497106671333313, R2 0.7517883777618408
Test Epoch62 layer1 out_loss 0.21208132803440094, R2 0.7851131558418274
Train Epoch63 out_loss 0.19553762674331665, R2 0.805098295211792
Test Epoch63 layer0 out_loss 0.22678403556346893, R2 0.7702159881591797
Test Epoch63 layer1 out_loss 0.20564205944538116, R2 0.7916375994682312
Train Epoch64 out_loss 0.19509774446487427, R2 0.8055367469787598
Test Epoch64 layer0 out_loss 0.2250298708677292, R2 0.7719933390617371
Test Epoch64 layer1 out_loss 0.20356385409832, R2 0.7937433123588562
Train Epoch65 out_loss 0.19454500079154968, R2 0.8060876727104187
Test Epoch65 layer0 out_loss 0.2334214448928833, R2 0.7634907364845276
Test Epoch65 layer1 out_loss 0.2075916826725006, R2 0.7896621823310852
Train Epoch66 out_loss 0.1940118968486786, R2 0.8066190481185913
Test Epoch66 layer0 out_loss 0.23089683055877686, R2 0.766048789024353
Test Epoch66 layer1 out_loss 0.20488759875297546, R2 0.7924020290374756
Train Epoch67 out_loss 0.19329431653022766, R2 0.807334303855896
Test Epoch67 layer0 out_loss 0.22660991549491882, R2 0.7703923583030701
Test Epoch67 layer1 out_loss 0.20251572132110596, R2 0.7948052883148193
Train Epoch68 out_loss 0.19328908622264862, R2 0.8073395490646362
Test Epoch68 layer0 out_loss 0.236318439245224, R2 0.7605553865432739
Test Epoch68 layer1 out_loss 0.20665787160396576, R2 0.7906083464622498
Train Epoch69 out_loss 0.19303680956363678, R2 0.8075909614562988
Test Epoch69 layer0 out_loss 0.2335292100906372, R2 0.7633815407752991
Test Epoch69 layer1 out_loss 0.20318995416164398, R2 0.7941221594810486
Train Epoch70 out_loss 0.19408375024795532, R2 0.8065474033355713
Test Epoch70 layer0 out_loss 0.22273102402687073, R2 0.7743225693702698
Test Epoch70 layer1 out_loss 0.20409470796585083, R2 0.7932054400444031
Train Epoch71 out_loss 0.19330689311027527, R2 0.8073217868804932
Test Epoch71 layer0 out_loss 0.22503608465194702, R2 0.7719870209693909
Test Epoch71 layer1 out_loss 0.2036929577589035, R2 0.7936124801635742
Train Epoch72 out_loss 0.19159388542175293, R2 0.809029221534729
Test Epoch72 layer0 out_loss 0.22454488277435303, R2 0.7724847197532654
Test Epoch72 layer1 out_loss 0.2043517827987671, R2 0.7929449677467346
Train Epoch73 out_loss 0.19135725498199463, R2 0.8092650771141052
Test Epoch73 layer0 out_loss 0.23082926869392395, R2 0.7661172151565552
Test Epoch73 layer1 out_loss 0.21152150630950928, R2 0.7856804132461548
Train Epoch74 out_loss 0.19174109399318695, R2 0.808882474899292
Test Epoch74 layer0 out_loss 0.22431553900241852, R2 0.7727171182632446
Test Epoch74 layer1 out_loss 0.20652776956558228, R2 0.7907401919364929
Train Epoch75 out_loss 0.19099633395671844, R2 0.8096247911453247
Test Epoch75 layer0 out_loss 0.2277172952890396, R2 0.7692703604698181
Test Epoch75 layer1 out_loss 0.20104974508285522, R2 0.7962906360626221
Train Epoch76 out_loss 0.19080007076263428, R2 0.8098204135894775
Test Epoch76 layer0 out_loss 0.22811377048492432, R2 0.768868625164032
Test Epoch76 layer1 out_loss 0.20434585213661194, R2 0.7929509878158569
Train Epoch77 out_loss 0.19040453433990479, R2 0.810214638710022
Test Epoch77 layer0 out_loss 0.23244260251522064, R2 0.7644824981689453
Test Epoch77 layer1 out_loss 0.2104504257440567, R2 0.7867656350135803
Train Epoch78 out_loss 0.19046449661254883, R2 0.810154914855957
Test Epoch78 layer0 out_loss 0.2300281673669815, R2 0.7669289112091064
Test Epoch78 layer1 out_loss 0.20465242862701416, R2 0.7926403284072876
Train Epoch79 out_loss 0.19016866385936737, R2 0.8104497790336609
Test Epoch79 layer0 out_loss 0.22612200677394867, R2 0.7708867192268372
Test Epoch79 layer1 out_loss 0.2021595537662506, R2 0.7951661944389343
Train Epoch80 out_loss 0.18946819007396698, R2 0.8111479878425598
Test Epoch80 layer0 out_loss 0.2237589955329895, R2 0.7732809782028198
Test Epoch80 layer1 out_loss 0.20155642926692963, R2 0.7957772612571716
Train Epoch81 out_loss 0.18849512934684753, R2 0.812117874622345
Test Epoch81 layer0 out_loss 0.2208743840456009, R2 0.7762037515640259
Test Epoch81 layer1 out_loss 0.2024594247341156, R2 0.7948623299598694
Train Epoch82 out_loss 0.1892557293176651, R2 0.8113597631454468
Test Epoch82 layer0 out_loss 0.22215314209461212, R2 0.7749081254005432
Test Epoch82 layer1 out_loss 0.20126894116401672, R2 0.796068549156189
Train Epoch83 out_loss 0.18893243372440338, R2 0.8116819858551025
Test Epoch83 layer0 out_loss 0.2308540791273117, R2 0.76609206199646
Test Epoch83 layer1 out_loss 0.21147480607032776, R2 0.7857276797294617
Train Epoch84 out_loss 0.1890789270401001, R2 0.8115359544754028
Test Epoch84 layer0 out_loss 0.2300899475812912, R2 0.7668663263320923
Test Epoch84 layer1 out_loss 0.20831292867660522, R2 0.7889313697814941
Train Epoch85 out_loss 0.18770766258239746, R2 0.8129028081893921
Test Epoch85 layer0 out_loss 0.22945794463157654, R2 0.7675066590309143
Test Epoch85 layer1 out_loss 0.2045724093914032, R2 0.7927213907241821
Train Epoch86 out_loss 0.18868616223335266, R2 0.8119274377822876
Test Epoch86 layer0 out_loss 0.2323039323091507, R2 0.7646230459213257
Test Epoch86 layer1 out_loss 0.20547713339328766, R2 0.7918047308921814
Train Epoch87 out_loss 0.18818989396095276, R2 0.8124220967292786
Test Epoch87 layer0 out_loss 0.22219043970108032, R2 0.7748702764511108
Test Epoch87 layer1 out_loss 0.20190607011318207, R2 0.7954230308532715
Train Epoch88 out_loss 0.1880282461643219, R2 0.8125832080841064
Test Epoch88 layer0 out_loss 0.23307064175605774, R2 0.7638461589813232
Test Epoch88 layer1 out_loss 0.20675449073314667, R2 0.7905104756355286
Train Epoch89 out_loss 0.1867499053478241, R2 0.8138574361801147
Test Epoch89 layer0 out_loss 0.2229851335287094, R2 0.7740651369094849
Test Epoch89 layer1 out_loss 0.20151787996292114, R2 0.7958163619041443
Train Epoch90 out_loss 0.18708829581737518, R2 0.8135201334953308
Test Epoch90 layer0 out_loss 0.2253096103668213, R2 0.7717099189758301
Test Epoch90 layer1 out_loss 0.2068980187177658, R2 0.7903650403022766
Train Epoch91 out_loss 0.18622009456157684, R2 0.8143855333328247
Test Epoch91 layer0 out_loss 0.2246072143316269, R2 0.7724215984344482
Test Epoch91 layer1 out_loss 0.2044210433959961, R2 0.7928747534751892
Train Epoch92 out_loss 0.18665027618408203, R2 0.8139567375183105
Test Epoch92 layer0 out_loss 0.22769084572792053, R2 0.7692971229553223
Test Epoch92 layer1 out_loss 0.20883262157440186, R2 0.7884048223495483
Train Epoch93 out_loss 0.18670152127742767, R2 0.813905656337738
Test Epoch93 layer0 out_loss 0.21988701820373535, R2 0.7772042155265808
Test Epoch93 layer1 out_loss 0.1996852159500122, R2 0.797673225402832
Train Epoch94 out_loss 0.18579386174678802, R2 0.8148103356361389
Test Epoch94 layer0 out_loss 0.22363197803497314, R2 0.7734097242355347
Test Epoch94 layer1 out_loss 0.20117881894111633, R2 0.7961598634719849
Train Epoch95 out_loss 0.18597546219825745, R2 0.814629316329956
Test Epoch95 layer0 out_loss 0.2205088883638382, R2 0.7765741348266602
Test Epoch95 layer1 out_loss 0.19967982172966003, R2 0.7976787090301514
Train Epoch96 out_loss 0.18578124046325684, R2 0.8148229122161865
Test Epoch96 layer0 out_loss 0.226944699883461, R2 0.7700531482696533
Test Epoch96 layer1 out_loss 0.20207814872264862, R2 0.7952486276626587
Train Epoch97 out_loss 0.18522977828979492, R2 0.8153725862503052
Test Epoch97 layer0 out_loss 0.21987684071063995, R2 0.777214527130127
Test Epoch97 layer1 out_loss 0.2007274478673935, R2 0.7966172099113464
Train Epoch98 out_loss 0.1853688657283783, R2 0.8152339458465576
Test Epoch98 layer0 out_loss 0.2201618105173111, R2 0.776925802230835
Test Epoch98 layer1 out_loss 0.19823521375656128, R2 0.7991424202919006
Train Epoch99 out_loss 0.18599969148635864, R2 0.8146052360534668
Test Epoch99 layer0 out_loss 0.22204533219337463, R2 0.7750173211097717
Test Epoch99 layer1 out_loss 0.2033224254846573, R2 0.7939879298210144
Best r2 0.7991424202919006 at L1
Figure(640x480)
Figure(640x480)
Figure(640x480)
Figure(640x480)
